GeneID	1577_d7_CD46	1578_d7_CD46	1599_d7_CD46	1577_d7_ISG15	1578_d7_ISG15	1599_d7_ISG15	1577_d7_UBA7	1578_d7_UBA7	1599_d7_UBA7	1577_d7_STAT1	1578_d7_STAT1	1599_d7_STAT1
ENSG00000283259	0	0	5	2	1	0	0	1	1	1	5	3
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000142611	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762	0	0	0	3	2	3	0	0	2	0	0	0
ENSG00000272088	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162591	95	66	148	59	69	101	68	109	122	129	82	117
ENSG00000238260	12	11	12	8	10	8	8	13	5	14	8	5
ENSG00000158109	931	654	1261	614	765	1078	534	1150	1144	907	903	1006
ENSG00000116213	1195	891	1890	869	1040	1408	781	1427	1608	1335	1168	1398
ENSG00000078900	524	313	619	300	275	428	301	504	568	582	415	529
ENSG00000227589	18	13	13	10	12	10	19	24	11	22	18	23
ENSG00000235131	0	2	3	2	1	1	6	3	2	1	3	2
ENSG00000162592	49	41	124	43	61	97	37	82	101	60	61	69
ENSG00000235169	24	11	28	24	17	29	13	18	25	24	15	26
ENSG00000130764	1995	1558	3050	1498	1667	2465	1294	2399	2469	2195	2234	2327
ENSG00000272153	34	17	45	31	20	32	26	40	38	29	30	31
ENSG00000116198	1663	959	2376	1214	1166	1909	1136	1624	1982	1957	1434	1963
ENSG00000169598	458	290	522	320	356	442	302	499	484	516	406	428
ENSG00000198912	887	656	1449	632	702	1108	586	1061	1249	1048	954	1072
ENSG00000236423	58	33	36	28	39	23	41	42	34	52	70	34
ENSG00000233304	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000226374	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284703	0	3	2	0	0	1	0	3	0	2	0	2
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	563	418	1107	374	444	789	365	713	892	689	669	845
ENSG00000069424	5833	5256	11180	3998	5701	8099	3532	8796	8867	6813	8842	8186
ENSG00000116254	13	12	46	9	17	17	8	11	23	19	19	25
ENSG00000116251	15842	13058	30665	10988	14874	22703	10050	22248	23360	18466	23352	25002
ENSG00000226944	0	0	0	0	0	0	0	1	1	0	1	1
ENSG00000158286	29	8	74	13	13	29	12	22	74	53	28	68
ENSG00000116237	2298	1382	3992	1481	1560	2749	1421	2395	3461	2713	2228	3682
ENSG00000225077	24	9	14	22	9	16	13	12	24	26	12	14
ENSG00000173673	0	0	1	0	0	2	0	0	0	0	0	0
ENSG00000158292	5	3	17	9	8	8	5	12	15	10	10	10
ENSG00000097021	1030	861	2028	733	1016	1405	658	1420	1581	1311	1489	1734
ENSG00000271746	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	2	5	1	1	3	3	3	1	2	0	2	3
ENSG00000187017	5	0	0	0	2	0	1	2	0	0	3	1
ENSG00000231868	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000215788	18	12	23	12	24	17	14	21	25	32	19	24
ENSG00000171680	86	86	191	60	83	108	41	127	140	112	95	166
ENSG00000162408	1318	1008	2109	997	1081	1611	850	1425	1725	1509	1369	1574
ENSG00000173662	5	1	3	3	0	2	2	1	11	4	0	0
ENSG00000204859	1026	911	1841	740	928	1437	655	1395	1412	1152	1268	1248
ENSG00000162413	1122	862	2281	734	860	1796	721	1344	1900	1257	1360	1817
ENSG00000116273	616	458	1177	443	560	916	447	852	1112	795	867	1016
ENSG00000041988	390	321	654	303	398	615	260	525	585	443	477	507
ENSG00000007923	1709	1171	3291	1130	1470	2506	1017	2069	2682	1878	1916	2387
ENSG00000228750	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000284744	0	0	0	0	1	0	0	1	1	0	2	0
ENSG00000237436	33	21	37	12	26	20	16	26	24	21	33	24
ENSG00000171735	749	581	1217	520	616	993	498	924	1020	804	949	1107
ENSG00000237365	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000237728	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000225126	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000270171	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270035	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269978	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000049245	609	408	1027	450	517	934	396	733	935	636	674	846
ENSG00000049246	186	97	201	122	85	126	108	102	155	184	114	145
ENSG00000236266	2	2	7	8	3	3	0	7	4	2	3	5
ENSG00000049247	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049249	3	9	28	5	8	21	5	17	21	8	20	29
ENSG00000116288	6540	4990	10228	4703	5434	7756	4039	8237	8443	7001	8698	8988
ENSG00000284747	27	30	51	21	28	33	12	56	51	29	42	38
ENSG00000284716	0	1	9	1	1	2	4	0	6	1	1	6
ENSG00000116285	19	13	30	14	18	22	18	24	27	26	23	15
ENSG00000238290	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000227634	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	10	1	3	3	2	0	1	8	4	5	2	2
ENSG00000142599	6480	3897	13960	5631	5303	12311	3880	6370	12076	6467	4918	9076
ENSG00000232912	17	8	32	14	15	38	7	14	29	15	8	20
ENSG00000228423	8	13	17	5	11	17	4	6	14	0	8	7
ENSG00000074800	39254	35411	70377	28375	36645	49442	24415	62176	55294	48831	71929	57599
ENSG00000230679	5	7	9	9	5	12	6	11	7	7	14	5
ENSG00000131686	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197241	1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000142583	4093	2168	4652	3744	2607	4490	2707	3426	4431	4837	3432	3444
ENSG00000180758	162	131	191	113	128	136	102	248	174	181	228	163
ENSG00000228526	137	140	384	109	199	263	107	269	294	173	220	264
ENSG00000234546	10	13	29	13	27	30	8	20	31	22	21	32
ENSG00000049239	1758	1085	2923	1352	1358	2207	1061	1824	2387	1839	1613	2042
ENSG00000171621	147	65	245	161	120	255	100	107	173	174	82	188
ENSG00000284652	1	1	4	6	0	1	4	1	3	1	0	4
ENSG00000284693	4	4	8	3	4	7	6	2	9	9	3	11
ENSG00000235263	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171612	530	404	1108	355	433	670	352	760	815	620	631	918
ENSG00000188807	949	652	1918	625	716	1345	588	1061	1470	1121	1131	1533
ENSG00000171608	5583	4439	10693	3684	5321	7669	3194	7783	8412	6170	7146	8049
ENSG00000179840	31	31	105	31	41	43	29	60	48	49	67	47
ENSG00000231789	215	148	274	177	172	253	141	226	245	237	226	237
ENSG00000171603	5539	4539	9549	4233	5724	8374	3534	7192	8351	6259	7257	7952
ENSG00000178585	492	392	666	318	419	548	314	657	506	486	598	480
ENSG00000223989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162441	548	385	1128	408	458	830	373	637	938	598	662	853
ENSG00000173614	389	317	609	278	350	466	259	557	571	468	487	521
ENSG00000162444	0	0	3	0	1	8	0	2	2	1	1	6
ENSG00000130939	2470	1707	3813	1642	1909	2799	1692	2763	3291	3016	2728	3173
ENSG00000054523	931	447	1424	568	599	1019	527	823	1197	954	801	1025
ENSG00000284735	12	13	24	7	8	20	16	17	13	22	15	16
ENSG00000284642	13	11	14	8	14	17	4	21	10	15	9	11
ENSG00000142657	3765	2474	5374	2432	2983	3706	2236	4457	4560	4275	4347	4861
ENSG00000271989	0	0	1	3	0	1	0	0	0	1	1	2
ENSG00000251503	3	5	7	4	3	6	0	10	5	5	3	4
ENSG00000175279	39	19	67	36	38	42	31	61	61	49	58	62
ENSG00000241563	8	15	14	8	14	9	6	14	13	13	22	11
ENSG00000160049	1739	1380	2779	1350	1528	2162	1160	2282	2402	2124	2281	2412
ENSG00000203469	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	845	643	1375	646	831	1148	523	1000	1157	936	983	1137
ENSG00000130940	130	123	411	105	203	344	81	203	372	163	206	264
ENSG00000272078	11	11	23	11	13	27	4	20	27	19	26	23
ENSG00000175262	47	32	67	55	43	74	40	92	61	69	78	66
ENSG00000120948	3495	2692	5796	2488	3262	4456	2346	4452	4417	3936	4431	4188
ENSG00000277726	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000009724	135	81	366	84	108	209	77	163	288	171	135	232
ENSG00000271895	50	63	104	43	52	74	34	93	119	82	93	80
ENSG00000116649	4954	3747	7448	3573	4203	5701	3406	6061	6648	5989	6105	7117
ENSG00000171824	2463	1541	4313	1737	2021	3251	1505	2832	3648	2780	2586	3235
ENSG00000226849	15	8	23	5	13	16	6	18	18	28	10	12
ENSG00000230337	11	7	4	6	8	4	6	15	9	8	17	10
ENSG00000198793	3578	2087	6597	2535	2495	4605	2133	3567	5597	4155	3079	5096
ENSG00000225602	1	0	13	1	0	5	2	0	4	2	1	4
ENSG00000171819	1	2	25	2	1	10	1	3	4	5	2	8
ENSG00000120942	946	700	1794	684	807	1448	539	1098	1598	1024	1057	1524
ENSG00000284646	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204624	8	4	14	5	4	7	3	8	15	19	5	9
ENSG00000235643	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284708	1	0	0	0	0	0	0	0	3	2	1	0
ENSG00000116661	104	100	153	68	122	142	70	164	109	64	123	74
ENSG00000132879	1193	1141	1949	951	1423	1669	738	1757	1541	1161	1466	1073
ENSG00000116663	917	949	2132	1257	1795	2803	553	1475	1703	387	692	561
ENSG00000116670	939	885	1677	737	1052	1314	621	1406	1411	1068	1480	1377
ENSG00000162490	8	5	10	8	11	10	5	15	13	5	20	5
ENSG00000177674	315	370	678	239	470	584	179	588	553	330	512	540
ENSG00000215910	10	4	14	9	3	21	5	10	15	12	18	14
ENSG00000177553	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177000	1260	1082	3405	1009	1289	2429	878	1911	2702	1588	1640	2308
ENSG00000011021	1045	779	2731	738	888	1859	653	1532	2202	1198	1283	1823
ENSG00000242349	53	40	70	24	50	53	28	64	61	58	76	70
ENSG00000175206	19	10	32	7	12	23	16	22	33	16	16	12
ENSG00000120937	0	0	2	0	0	0	0	0	0	1	1	0
ENSG00000116685	3693	2864	4919	2860	3262	4465	2505	4403	4163	4084	4540	4197
ENSG00000083444	2052	1541	3106	1398	1455	2157	1354	2681	2796	2750	2889	2917
ENSG00000116688	2959	2142	5394	2106	2494	4062	1902	3657	4291	3619	3373	4331
ENSG00000116691	1120	1006	1784	858	1088	1393	831	1453	1378	1343	1364	1322
